sample.no	sample.id	block	square	lane	individual	biological.replica	plant.species	site	plant.compartment	season	treatment.id	treatment	sample.by	od	notes	sample_name	AIM.sample.id	plate	done
20210219NGSeco_C_046	14	B.4.I	B	4	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B4	RC1	Victor	0.725		B4_I_nov19	20210219NGSeco_C_046	E116	yes
20210219NGSeco_C_047	80	B.10.I	B	10	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B10	CC	Victor	0.539		B10_I_feb20	20210219NGSeco_C_047	E116	yes
20210219NGSeco_C_048	194	A.12.I	A	12	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A12	CC	Victor	0.616		A12_I_nov20	20210219NGSeco_C_048	E116	yes
20210219NGSeco_C_049	115	A.8.III	A	8	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A8	RC3	Victor	0.518		A8_III_jul20	20210219NGSeco_C_049	E116	yes
20210219NGSeco_C_050	233	B.14.I	B	14	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B14	MOCK	Victor	0.59		B14_I_nov20	20210219NGSeco_C_050	E116	yes
20210219NGSeco_C_051	142	B.6.III	B	6	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B6	PFCS	Victor	0.575		B6_III_jul20	20210219NGSeco_C_051	E116	yes
20210219NGSeco_C_052	30	A.3.II	A	3	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A3	BC	David	0.624		A3_II_feb20	20210219NGSeco_C_052	E116	yes
20210219NGSeco_C_053	37	A.5.III	A	5	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A5	AAP	Victor	0.488		A5_III_feb20	20210219NGSeco_C_053	E116	yes
20210219NGSeco_C_054	41	A.7.I	A	7	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A7	MOCK	David	0.592	Revisa concentración otra vez	A7_I_feb20	20210219NGSeco_C_054	E116	yes
20210219NGSeco_C_055	15	B.5.I	B	5	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B5	PFC	Victor	0.425		B5_I_nov19	20210219NGSeco_C_055	E116	yes
20210219NGSeco_C_056	210	B.6.II	B	6	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B6	PFCS	Victor	0.89		B6_II_nov20	20210219NGSeco_C_056	E116	yes
20210219NGSeco_C_057	48	A.9.II	A	9	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A9	PFC	Victor	0.43		A9_II_feb20	20210219NGSeco_C_057	E116	yes
20210219NGSeco_C_058	18	B.9.I	B	9	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B9	PFCF	Victor	0.705		B9_I_nov19	20210219NGSeco_C_058	E116	yes
20210219NGSeco_C_059	152	B.11.I	B	11	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B11	AAP	Victor	0.482		B11_I_jul20	20210219NGSeco_C_059	E116	yes
20210219NGSeco_C_060	68	B.5.I	B	5	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B5	PFC	Victor	0.497		B5_I_feb20	20210219NGSeco_C_060	E116	yes
20210219NGSeco_C_061	66	B.4.II	B	4	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B4	RC1	Victor	0.308		B4_II_feb20	20210219NGSeco_C_061	E116	yes
20210219NGSeco_C_062	56	A.12.I	A	12	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A12	CC	David	0.339		A12_I_feb20	20210219NGSeco_C_062	E116	yes
20210219NGSeco_C_063	110	A.7.I	A	7	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	A7	MOCK	Victor	0.652		A7_I_jul20	20210219NGSeco_C_063	E116	yes
20210219NGSeco_C_064	160	B.13.III	B	13	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B13	BC	David	0.343		B13_III_jul20	20210219NGSeco_C_064	E116	yes
20210219NGSeco_C_065	42	A.7.II	A	7	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A7	MOCK	Victor	0.622		A7_II_feb20	20210219NGSeco_C_065	E116	yes
20210219NGSeco_C_066	4	A.5.I	A	5	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A5	AAP	Victor	0.743		A5_I_nov19	20210219NGSeco_C_066	E116	yes
20210219NGSeco_C_067	9	A.10.I	A	10	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A10	PFCT	Victor	0.38		A10_I_nov19	20210219NGSeco_C_067	E116	yes
20210219NGSeco_C_068	84	B.11.II	B	11	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B11	AAP	Victor	0.445		B11_II_feb20	20210219NGSeco_C_068	E116	yes
20210219NGSeco_C_069	198	B.1.II	B	1	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B1	RC3	Victor	0.549	1 sóla penca	B1_II_nov20	20210219NGSeco_C_069	E116	yes
20210219NGSeco_C_070	27	A.2.II	A	2	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A2	PFCS	David	0.405		A2_II_feb20	20210219NGSeco_C_070	E116	yes
20210219NGSeco_C_071	96	A.2.II	A	2	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	A2	PFCS	Victor	0.701		A2_II_jul20	20210219NGSeco_C_071	E116	yes
20210219NGSeco_C_072	60	B.1.II	B	1	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B1	RC3	David	0.421		B1_II_feb20	20210219NGSeco_C_072	E116	yes
20210219NGSeco_C_073	147	B.9.II	B	9	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	B9	PFCF	Victor	0.48		B9_II_jul20	20210219NGSeco_C_073	E116	yes
20210219NGSeco_C_074	46	A.8.III	A	8	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A8	RC3	David	0.553		A8_III_feb20	20210219NGSeco_C_074	E116	yes
20210219NGSeco_C_075	6	A.7.I	A	7	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A7	MOCK	Victor	0.347		A7_I_nov19	20210219NGSeco_C_075	E116	yes
20210219NGSeco_C_076	102	A.4.II	A	4	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	A4	RC1	Victor	0.544		A4_II_jul20	20210219NGSeco_C_076	E116	yes
20210219NGSeco_C_077	223	B.10.III	B	10	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B10	CC	Victor	0.99		B10_III_nov20	20210219NGSeco_C_077	E116	yes
20210219NGSeco_C_078	16	B.6.I	B	6	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B6	PFCS	Victor	0.469		B6_I_nov19	20210219NGSeco_C_078	E116	yes
20210219NGSeco_C_079	228	B.12.II	B	12	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B12	RC2	Victor	1.059		B12_II_nov20	20210219NGSeco_C_079	E116	yes
20210219NGSeco_C_080	150	B.10.II	B	10	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	B10	CC	Victor	0.376		B10_II_jul20	20210219NGSeco_C_080	E116	yes
20210219NGSeco_C_081	111	A.7.II	A	7	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	A7	MOCK	Victor	0.379		A7_II_jul20	20210219NGSeco_C_081	E117	yes
20210219NGSeco_C_082	217	B.8.III	B	8	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B8	VOC	Victor	0.889		B8_III_nov20	20210219NGSeco_C_082	E117	yes
20210219NGSeco_C_083	180	A.7.II	A	7	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	A7	MOCK	Victor	0.961		A7_II_nov20	20210219NGSeco_C_083	E117	yes
20210219NGSeco_C_084	211	B.6.III	B	6	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B6	PFCS	Victor	0.813	falló luz y la campana 	B6_III_nov20	20210219NGSeco_C_084	E117	no
20210219NGSeco_C_085	190	A.10.III	A	10	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A10	PFCT	Victor	0.866	falló luz y la campana 	A10_III_nov20	20210219NGSeco_C_085	E117	yes
20210219NGSeco_C_086	109	A.6.III	A	6	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A6	PFCF	Victor	0.534		A6_III_jul20	20210219NGSeco_C_086	E117	no
20210219NGSeco_C_087	175	A.5.III	A	5	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A5	AAP	Victor	0.875		A5_III_nov20	20210219NGSeco_C_087	E117	yes
20210219NGSeco_C_088	186	A.9.II	A	9	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	A9	PFC	Victor	0.802		A9_II_nov20	20210219NGSeco_C_088	E117	no
20210219NGSeco_C_089	44	A.8.I	A	8	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A8	RC3	David	0.532		A8_I_feb20	20210219NGSeco_C_089	E117	yes
20210219NGSeco_C_090	104	A.5.I	A	5	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	A5	AAP	Victor	0.756		A5_I_jul20	20210219NGSeco_C_090	E117	no
20210219NGSeco_C_091	214	B.7.III	B	7	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B7	MOCK	Victor	0.973		B7_III_nov20	20210219NGSeco_C_091	E117	yes
20210219NGSeco_C_092	106	A.5.III	A	5	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A5	AAP	Victor	0.507		A5_III_jul20	20210219NGSeco_C_092	E117	yes
20210219NGSeco_C_093	151	B.10.III	B	10	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B10	CC	Victor	0.45		B10_III_jul20	20210219NGSeco_C_093	E117	yes
20210219NGSeco_C_094	118	A.9.III	A	9	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A9	PFC	Victor	0.551		A9_III_jul20	20210219NGSeco_C_094	E117	yes
20210219NGSeco_C_095	81	B.10.II	B	10	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B10	CC	Victor	0.351		B10_II_feb20	20210219NGSeco_C_095	E117	no
20210219NGSeco_C_096	179	A.7.I	A	7	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A7	MOCK	Victor	0.853		A7_I_nov20	20210219NGSeco_C_096	E117	yes
20210219NGSeco_C_097	158	B.13.I	B	13	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B13	BC	David	0.296	muy poco DNA	B13_I_jul20	20210219NGSeco_C_097	E117	no
20210219NGSeco_C_098	133	B.2.III	B	2	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B2	PFCT	Victor	0.47		B2_III_jul20	20210219NGSeco_C_098	E117	yes
20210219NGSeco_C_099	148	B.9.III	B	9	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B9	PFCF	Victor	0.455		B9_III_jul20	20210219NGSeco_C_099	E117	yes
20210219NGSeco_C_100	88	B.12.III	B	12	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	B12	RC2	David	0.535		B12_III_feb20	20210219NGSeco_C_100	E117	yes
20210219NGSeco_C_101	34	A.4.III	A	4	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A4	RC1	David	0.438		A4_III_feb20	20210219NGSeco_C_101	E117	yes
