domain	phylum	class	order	family	genus	otu.id
OTU_37	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacterales	NA	NA	OTU_37
OTU_40	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	OTU_40
OTU_41	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Aurantimonadaceae	g:Aureimonas	OTU_41
OTU_43	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_43
OTU_45	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	g:Bradyrhizobium	OTU_45
OTU_46	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_46
OTU_47	d:Archaea	p:Thaumarchaeota	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	NA	OTU_47
OTU_48	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	NA	OTU_48
OTU_49	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	NA	OTU_49
OTU_50	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Azospirillaceae	g:Azospirillum	OTU_50
OTU_53	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	g:Asaia	OTU_53
OTU_55	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	OTU_55
OTU_59	d:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Turicibacter	OTU_59
OTU_61	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_61
OTU_62	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	OTU_62
OTU_63	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Neisseriales	f:Neisseriaceae	g:Snodgrassella	OTU_63
OTU_65	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_65
OTU_66	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_66
OTU_67	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	OTU_67
OTU_68	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Cellulomonadaceae	NA	OTU_68
OTU_69	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp3	NA	NA	NA	OTU_69
OTU_70	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodobacterales	f:Rhodobacteraceae	g:Paracoccus	OTU_70
OTU_72	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Motilibacteraceae	g:Motilibacter	OTU_72
OTU_73	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Duganella	OTU_73
OTU_74	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Orbales	f:Orbaceae	g:Gilliamella	OTU_74
OTU_75	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Devosiaceae	g:Devosia	OTU_75
OTU_76	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp3	g:Gp3	NA	NA	OTU_76
OTU_78	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_78
OTU_79	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	OTU_79
OTU_80	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	NA	OTU_80
OTU_82	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Paraburkholderia	OTU_82
OTU_84	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	g:Klenkia	OTU_84
OTU_86	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Caballeronia	OTU_86
OTU_87	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Staphylococcaceae	g:Staphylococcus	OTU_87
OTU_88	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Aeromonadales	f:Aeromonadaceae	g:Aeromonas	OTU_88
OTU_89	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_89
OTU_90	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Brevundimonas	OTU_90
OTU_91	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacterales	NA	NA	OTU_91
OTU_92	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_92
OTU_93	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	OTU_93
OTU_94	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Lentzea	OTU_94
OTU_95	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Orbales	f:Orbaceae	NA	OTU_95
OTU_96	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Diplorickettsia	OTU_96
OTU_97	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Clostridiaceae_1	g:Clostridium_sensu_stricto	OTU_97
OTU_99	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	NA	OTU_99
OTU_100	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	OTU_100
OTU_102	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	OTU_102
OTU_103	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_103
OTU_105	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Actinophytocola	OTU_105
OTU_107	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Bombilactobacillus	OTU_107
OTU_111	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Microvirga	OTU_111
OTU_113	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_113
OTU_114	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Peptostreptococcaceae	g:Romboutsia	OTU_114
OTU_115	d:Archaea	p:Thaumarchaeota	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	NA	OTU_115
OTU_116	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Acidovorax	OTU_116
OTU_117	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_117
OTU_118	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_118
OTU_120	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_120
OTU_121	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Corynebacteriaceae	g:Corynebacterium	OTU_121
OTU_122	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	NA	NA	OTU_122
OTU_123	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodobacterales	f:Rhodobacteraceae	g:Paracoccus	OTU_123
OTU_124	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_124
OTU_125	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Amnibacterium	OTU_125
OTU_127	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Peptostreptococcaceae	g:Terrisporobacter	OTU_127
OTU_129	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Devosiaceae	g:Devosia	OTU_129
OTU_131	d:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Weeksellaceae	g:Chryseobacterium	OTU_131
OTU_132	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacterales	NA	NA	OTU_132
OTU_136	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_136
OTU_137	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Clostridiaceae_1	g:Clostridium_sensu_stricto	OTU_137
OTU_138	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	g:Roseomonas	OTU_138
OTU_142	d:Bacteria	NA	NA	NA	NA	NA	OTU_142
OTU_143	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_143
OTU_144	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	NA	NA	NA	OTU_144
OTU_145	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Segetibacter	OTU_145
