domain	phylum	class	order	family	genus	otu.id
OTU_290	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Azospirillaceae	g:Skermanella	OTU_290
OTU_292	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	NA	OTU_292
OTU_297	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	NA	OTU_297
OTU_299	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	g:Novosphingobium	OTU_299
OTU_302	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Propionibacteriaceae	g:Microlunatus	OTU_302
OTU_304	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_304
OTU_305	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Sphingobacterium	OTU_305
OTU_306	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_306
OTU_307	d:Bacteria	NA	NA	NA	NA	NA	OTU_307
OTU_310	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinomadura	OTU_310
OTU_317	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	NA	OTU_317
OTU_318	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	NA	OTU_318
OTU_320	d:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	OTU_320
OTU_321	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_321
OTU_322	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Pseudokineococcus	OTU_322
OTU_324	d:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Isosphaeraceae	NA	OTU_324
OTU_326	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Baekduiaceae	g:Baekduia	OTU_326
OTU_327	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	NA	NA	NA	OTU_327
OTU_330	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_330
OTU_331	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_331
OTU_332	NA	NA	NA	NA	NA	NA	OTU_332
OTU_334	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp1	NA	NA	NA	OTU_334
OTU_335	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_335
OTU_336	d:Bacteria	p:Cyanobacteria/Chloroplast	NA	NA	NA	NA	OTU_336
OTU_337	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_337
OTU_339	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Gammaproteobacteria_incertae_sedis	g:Acidibacter	NA	OTU_339
OTU_340	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_340
OTU_341	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_341
OTU_343	d:Bacteria	p:Armatimonadetes	c:Armatimonadia	o:Armatimonadales	f:Armatimonadaceae	g:Armatimonas/Armatimonadetes_gp1	OTU_343
OTU_344	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	OTU_344
OTU_345	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Dyadobacter	OTU_345
OTU_347	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	NA	OTU_347
OTU_348	d:Bacteria	p:Acidobacteria	c:Blastocatellia	o:Blastocatellales	f:Blastocatellaceae	NA	OTU_348
OTU_349	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Luteimonas	OTU_349
OTU_351	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_351
OTU_352	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	OTU_352
OTU_358	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	g:Modestobacter	OTU_358
OTU_360	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp1	g:Gp1	NA	NA	OTU_360
OTU_361	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_361
OTU_363	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_363
OTU_364	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_364
OTU_365	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_365
OTU_366	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_366
OTU_367	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_367
OTU_368	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	OTU_368
OTU_369	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	NA	OTU_369
OTU_371	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Nocardiaceae	g:Rhodococcus	OTU_371
OTU_372	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_372
OTU_373	d:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	NA	NA	OTU_373
OTU_374	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Angustibacter	OTU_374
OTU_376	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_376
OTU_378	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	NA	OTU_378
OTU_380	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Bifidobacteriales	f:Bifidobacteriaceae	g:Bifidobacterium	OTU_380
OTU_382	d:Bacteria	p:candidate_division_WPS-2	g:WPS-2_genera_incertae_sedis	NA	NA	NA	OTU_382
OTU_383	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_383
OTU_384	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Nakamurellales	f:Nakamurellaceae	g:Nakamurella	OTU_384
OTU_386	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_386
OTU_387	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	OTU_387
OTU_388	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	OTU_388
OTU_390	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_390
OTU_391	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Corynebacteriaceae	g:Corynebacterium	OTU_391
OTU_392	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_392
OTU_393	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_393
OTU_394	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Alsobacteraceae	g:Alsobacter	OTU_394
OTU_395	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Rhodanobacteraceae	NA	OTU_395
OTU_396	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	NA	NA	OTU_396
OTU_398	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Baekduiaceae	g:Baekduia	OTU_398
OTU_399	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Nocardiaceae	g:Rhodococcus	OTU_399
OTU_400	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	NA	NA	NA	OTU_400
OTU_401	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Brucellaceae	g:Brucella	OTU_401
OTU_402	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_402
OTU_403	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodobacterales	f:Rhodobacteraceae	g:Rubellimicrobium	OTU_403
OTU_404	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Catenulisporales	f:Actinospicaceae	g:Actinocrinis	OTU_404
OTU_409	d:Bacteria	p:Actinobacteria	c:Rubrobacteria	o:Rubrobacterales	f:Rubrobacteraceae	g:Rubrobacter	OTU_409
OTU_411	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	OTU_411
OTU_414	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Alicyclobacillaceae	g:Tumebacillus	OTU_414
OTU_415	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	NA	NA	OTU_415
OTU_417	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_417
OTU_418	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp3	g:Gp3	NA	NA	OTU_418
OTU_421	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_421
OTU_423	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_423
OTU_424	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_424
OTU_425	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Carnobacteriaceae	g:Atopostipes	OTU_425
OTU_427	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_427
OTU_428	d:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Isosphaeraceae	NA	OTU_428
OTU_430	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Pedobacter	OTU_430
OTU_431	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Lysobacter	OTU_431
OTU_432	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_432
OTU_436	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_436
OTU_437	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Dermabacteraceae	g:Brachybacterium	OTU_437
OTU_439	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_439
OTU_440	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_440
OTU_441	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_441
OTU_443	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_443
OTU_444	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_444
OTU_445	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Achromobacter	OTU_445
OTU_446	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Orbales	f:Orbaceae	g:Frischella	OTU_446
OTU_447	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	NA	OTU_447
OTU_449	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	g:Altererythrobacter	OTU_449
OTU_450	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinoallomurus	OTU_450
OTU_452	NA	NA	NA	NA	NA	NA	OTU_452
OTU_453	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	NA	OTU_453
OTU_454	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_454
OTU_455	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_455
OTU_458	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Microbacterium	OTU_458
OTU_459	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_459
OTU_463	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Marmoricola	OTU_463
OTU_464	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Gammaproteobacteria_incertae_sedis	g:Acidibacter	NA	OTU_464
OTU_465	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Rickettsiaceae	g:Rickettsia	OTU_465
OTU_466	d:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	NA	NA	OTU_466
OTU_469	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_469
OTU_470	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Staphylococcaceae	g:Salinicoccus	OTU_470
OTU_471	d:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Isosphaeraceae	NA	OTU_471
OTU_472	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_472
OTU_473	d:Bacteria	NA	NA	NA	NA	NA	OTU_473
OTU_475	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	NA	OTU_475
OTU_478	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	NA	OTU_478
OTU_479	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_479
OTU_481	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_481
OTU_485	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_485
OTU_487	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Gammaproteobacteria_incertae_sedis	g:Acidibacter	NA	OTU_487
OTU_489	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	NA	NA	OTU_489
OTU_490	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_490
OTU_491	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Staphylococcaceae	g:Jeotgalicoccus	OTU_491
OTU_493	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_493
OTU_494	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Dietziaceae	g:Dietzia	OTU_494
OTU_499	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Alkanindiges	OTU_499
OTU_500	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	OTU_500
OTU_501	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Shinella	OTU_501
OTU_502	d:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Isosphaeraceae	NA	OTU_502
OTU_503	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Baekduiaceae	g:Baekduia	OTU_503
OTU_505	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_505
OTU_506	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	NA	OTU_506
OTU_508	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_508
OTU_513	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_513
OTU_515	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	g:Geodermatophilus	OTU_515
OTU_516	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Ralstonia	OTU_516
OTU_523	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	NA	OTU_523
OTU_527	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Planococcaceae	g:Ureibacillus	OTU_527
OTU_529	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Dietziaceae	g:Dietzia	OTU_529
OTU_531	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_531
OTU_532	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_532
OTU_535	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	OTU_535
OTU_540	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Corynebacteriaceae	g:Corynebacterium	OTU_540
OTU_544	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Delftia	OTU_544
OTU_546	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	OTU_546
OTU_548	d:Bacteria	NA	NA	NA	NA	NA	OTU_548
OTU_553	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	NA	OTU_553
OTU_554	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Bogoriellaceae	g:Georgenia	OTU_554
OTU_555	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_555
OTU_556	d:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Isosphaeraceae	NA	OTU_556
OTU_558	d:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	OTU_558
OTU_559	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	NA	NA	OTU_559
OTU_562	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_562
OTU_563	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_563
OTU_567	d:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	OTU_567
OTU_570	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_570
OTU_572	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_572
OTU_576	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Sediminibacterium	OTU_576
OTU_579	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	g:Bacillus	OTU_579
OTU_580	d:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	NA	OTU_580
OTU_581	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_581
OTU_582	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Rhizobium	OTU_582
OTU_583	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	NA	NA	OTU_583
OTU_584	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp1	g:Gp1	NA	NA	OTU_584
OTU_585	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp3	g:Gp3	NA	NA	OTU_585
OTU_586	d:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:Nitrospiraceae	g:Nitrospira	OTU_586
OTU_587	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_587
OTU_588	d:Bacteria	NA	NA	NA	NA	NA	OTU_588
OTU_589	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_589
OTU_590	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Enterococcaceae	g:Enterococcus	OTU_590
OTU_592	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	NA	OTU_592
OTU_593	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_593
OTU_594	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_594
OTU_595	d:Bacteria	p:candidate_division_WPS-1	g:WPS-1_genera_incertae_sedis	NA	NA	NA	OTU_595
OTU_596	d:Bacteria	NA	NA	NA	NA	NA	OTU_596
OTU_597	d:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	OTU_597
OTU_599	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Larkinella	OTU_599
OTU_602	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_602
OTU_604	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Comamonas	OTU_604
OTU_605	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Planococcaceae	g:Kurthia	OTU_605
OTU_606	NA	NA	NA	NA	NA	NA	OTU_606
OTU_613	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Conexibacteraceae	g:Conexibacter	OTU_613
OTU_615	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Larkinella	OTU_615
OTU_616	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	NA	OTU_616
OTU_617	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Rhizobium	OTU_617
OTU_620	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_620
OTU_622	d:Bacteria	NA	NA	NA	NA	NA	OTU_622
OTU_623	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae_2	NA	OTU_623
OTU_626	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Paraburkholderia	OTU_626
OTU_629	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp1	g:Gp1	NA	NA	OTU_629
OTU_630	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_630
OTU_632	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	NA	NA	OTU_632
OTU_634	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	NA	OTU_634
OTU_637	d:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	OTU_637
OTU_638	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Planococcaceae	g:Planococcus	OTU_638
OTU_640	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Catenulisporales	f:Actinospicaceae	NA	OTU_640
OTU_643	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp3	g:Candidatus_Solibacter	NA	NA	OTU_643
OTU_644	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_644
OTU_645	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_645
OTU_649	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Jonesiaceae	g:Sanguibacter	OTU_649
OTU_651	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Nocardiopsaceae	g:Nocardiopsis	OTU_651
OTU_653	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	OTU_653
OTU_655	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	g:Blastococcus	OTU_655
OTU_657	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillales_Incertae_Sedis_XII	g:Exiguobacterium	OTU_657
OTU_658	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_658
OTU_660	d:Bacteria	NA	NA	NA	NA	NA	OTU_660
OTU_662	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	OTU_662
OTU_670	NA	NA	NA	NA	NA	NA	OTU_670
OTU_673	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Limosilactobacillus	OTU_673
OTU_675	d:Bacteria	p:Chloroflexi	c:Ktedonobacteria	o:Ktedonobacterales	NA	NA	OTU_675
